identifier;max volume(M.m3/year);source volume(M.m3/year);real volume(M.m3/year)
Unit #GV001308I;1.238;0.517;0.51209367
Plant #OU300273S;5655.535;5444.498;5293.42220575
Plant #MX200217V;764.252;657.654;646.88869653
Plant #VC300055Q;4831.095;4650.78;4436.821404540001
Module #CM101143F;97.249;92.491;91.59684136
Plant #EY300227B;1245.238;1062.598;1044.84866054
Unit #ZM000467G;1.513;1.438;1.42425272
Plant #SZ200432X;233.361;198.781;196.49003696000003
Facility complex #OC400007T;3829.177;3709.983;3613.337140389999
Facility complex #XF400019H;20410.841;18775.731;17983.99016297
Plant #SO200633G;746.354;674.131;662.3939328299999
Plant #HZ200526K;417.298;413.367;407.58994644
Plant #NH200676Q;1080.747;1072.876;1055.77621888
Unit #QJ001552C;2.102;1.935;1.91586285
Facility complex #WA400034E;2217.356;1335.345;1303.08823625
Unit #QZ001253U;6.785;6.015;5.9627897999999995
Facility complex #EF400080V;2210.524;1570.431;1531.49654431
Plant #KZ200536U;457.738;436.122;429.56398948
Plant #RL300075V;6740.808;5804.952;5578.456580779999
Unit #EF000670W;3.51;3.056;3.0296878400000002
Plant #RW200126Q;923.867;877.467;863.3181699099999
Module #EI101166Z;70.486;62.839;62.26477286000001
Unit #CS001608T;6.575;6.476;6.40690108
Module #ES100424A;91.667;81.117;80.30035127
Facility complex #RH400057F;5641.685;5603.737;5410.038384230001
Unit #BE000912S;1.127;1.069;1.05999902
Plant #XX300097U;3478.413;3340.377;3257.3714997699994
Plant #BJ200441F;1083.949;1082.652;1056.45964808
Plant #BZ200552B;1057.43;905.84;891.22703022
Unit #DD001208X;7.501;7.459;7.37866657
Plant #NC300199A;1271.485;982.675;967.3971096700001
Module #AO100644Q;93.125;86.418;85.4347194
Module #OF101224P;78.978;77.93;77.20245355
Plant #KW200769R;615.721;575.38;565.8979556800001
Unit #QW000441F;4.97;4.352;4.30926336
Module #GM100215M;52.406;51.142;50.68580250000001
Plant #NP300106X;1152.731;353.157;347.66425366000004
Unit #KU000032A;8.05;7.636;7.563305280000001
Unit #II000738C;1.431;1.345;1.3302453500000002
Module #FG100821C;78.489;76.138;75.40385968000001
Plant #CM300266V;1232.179;1092.177;1071.9934018699998
Plant #WX200038D;910.757;826.345;813.0728727300001
Plant #NI200607K;1066.776;997.627;971.4187655800001
Plant #EC200524X;1083.059;1074.465;1044.51344004
Plant #HQ200386Q;657.274;568.766;560.3546321100001
Plant #UD300120V;5635.38;5481.607;5252.92740175
Module #TF101123T;95.359;94.164;92.94010727999999
Unit #HL000138E;7.502;7.01;6.933450799999999
Unit #CL001081X;10.186;9.202;9.102618399999999
Module #JN100082H;108.339;104.566;102.95568359999999
Unit #SI000974G;8.391;7.574;7.50568252
Module #HU100757L;104.455;101.684;100.72440714
Module #BC100567J;91.452;89.956;89.10353138
Module #PP100483Z;90.23;80.87;79.80213634
Unit #EH000938K;2.633;2.578;2.55539094
Plant #HM200504K;1077.049;1074.988;1056.86519717
Plant #FM200094D;578.306;522.583;513.85249523
Plant #OA300285V;2047.203;2017.951;1966.5586679500002
Plant #NL200440T;704.157;659.67;649.5710298599998
Unit #CK001378R;1.801;1.651;1.63632261
Module #OS101217V;46.91;43.777;43.33750899
Module #CQ100132O;93.46;81.971;81.13722777999999
Plant #UD200342X;493.976;481.517;474.85597907
Plant #RY200418V;256.301;223.093;220.46826413000002
Unit #YN001560A;5.12;5.037;4.98239892
Plant #NP200119B;686.654;611.283;601.3572062499999
Plant #UC300310W;3257.496;3036.513;2959.4432064999996
Plant #JS200083M;206.75;203.604;201.25974552000002
Module #DT100088O;91.369;86.008;85.22424922
Module #LM101193B;99.852;95.743;94.77801234
Plant #MC200518T;312.985;270.366;267.13741847000006
Plant #KM300049J;9252.358;8454.473;8185.548317060001
Plant #LG200213I;248.955;242.449;239.49022164999997
Plant #RS300203F;2881.436;2850.516;2783.17784143
Unit #BZ000955T;8.526;7.794;7.7138776799999995
Facility complex #NQ400079K;5868.469;5613.326;5368.33795781
Plant #HF300218A;2131.134;2033.563;1983.6410072299998
Plant #GZ200464H;338.16;291.137;287.82163117
Module #QH101141E;95.625;89.131;88.2881872
Unit #OO000201I;3.297;2.903;2.8775406900000005
Module #SO100369T;107.595;100.817;99.84243385
Module #PK100619G;90.555;80.241;79.53251097
Unit #DA000867N;1.29;0.658;0.65261756
Plant #AJ200714L;512.438;474.738;466.97603369999996
Plant #ST200291V;194.593;166.552;164.97918233000001
Unit #GU001270I;1.904;1.761;1.7429497499999997
Module #FZ100463J;73.776;69.284;68.68639503
Module #NJ100014B;47.173;40.272;39.915805889999994
Plant #XT300277U;1415.289;1220.575;1199.7578943100002
Module #TW100520X;94.657;93.615;92.73370056
Module #YR101094N;104.927;97.162;96.1610598
Plant #JN300086T;1233.442;1038.183;1022.2508209200001
Plant #UR300208O;9119.375;8207.302;7871.75871258
Module #VU100954Q;105.175;94.644;93.57357993000001
Plant #WO200211T;878.648;857.45;842.8008089500001
Module #YV100865B;78.954;71.072;70.38035474
Plant #SF200533M;1011.9;1003.551;972.32919231
Plant #YC300325Y;3794.348;3279.019;3189.86130712
Module #AJ101149W;70.789;68.287;67.58783022
Plant #TP200598K;324.148;313.29;309.7363009900001
Unit #TZ000953T;6.744;5.761;5.709899930000001
Facility complex #BU400072D;10244.64;8914.758;8591.44196321
Plant #VN200073L;1039.312;934.8;919.6241036999999
Plant #HN200525I;1061.897;1057.628;1040.37024615
Plant #CY300062Z;1286.89;557.322;547.28264976
Plant #XE300259C;1160.172;254.467;250.84552189000001
Plant #AG200703I;1095.908;1087.641;1070.3841981100002
Plant #UC300129O;5689.859;5241.051;5031.61510457
Unit #SS001415M;5.039;4.532;4.49533612
Unit #TC000785C;4.743;4.739;4.69653856
Module #FK100004B;99.528;85.21;84.35228230999999
Module #PP100707Y;78.443;77.441;76.71831331
Plant #VI200289F;779.549;675.42;662.5485712
Plant #EP300184F;1106.895;631.761;620.6869153399999
Unit #UQ001337Q;7.783;7.442;7.37420338
Facility complex #GP400021X;5365.948;4977.539;4836.97895586
Plant #DX200017M;1019.366;878.51;864.14619377
Module #WA100455I;73.225;71.89;71.24077718999999
Unit #DS001429R;5.131;4.681;4.632036739999999
Plant #KR300214W;1300.574;1233.416;1209.63448058
Module #JF100524J;90.236;84.77;83.94679503
Module #UI100598K;35.235;32.292;32.01396588
Module #KA101138D;106.553;94.351;93.49386548999999
Module #LZ101222Z;96.71;92.726;91.89316744999999
Unit #MU000074M;5.723;5.13;5.087626200000001
Module #EV100113B;96.006;95.48;94.62877787000001
Module #FX100625M;106.514;95.069;94.16338415
Unit #OJ000801A;7.19;6.989;6.93106119
Plant #GN200426I;911.797;885.722;861.0348099500001
Unit #RL001163S;3.631;3.555;3.51749475
